,neutral,angry,happy,surprise,time
0,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
1,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
2,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
3,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
4,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
5,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
6,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
7,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
8,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
9,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
10,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
11,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
12,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
13,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
14,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
15,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
16,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
17,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
18,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
19,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
20,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
21,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
22,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
23,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
24,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
25,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
26,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
27,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
28,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
29,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
30,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
31,0.335668564,0.244318962,0.120344423,0.299668014,2024-06-04 12:39:31
